0,3,male,22,7.25
1,1,female,38,71.2833
1,3,female,26,7.925
1,1,female,35,53.1
0,3,male,35,8.05
0,1,male,54,51.8625
0,3,male,2,21.075
1,3,female,27,11.1333
1,2,female,14,30.0708
1,3,female,4,16.7
1,1,female,58,26.55
0,3,male,20,8.05
0,3,male,39,31.275
0,3,female,14,7.8542
1,2,female,55,16
0,3,male,2,29.125
0,3,female,31,18
0,2,male,35,26
1,2,male,34,13
1,3,female,15,8.0292
1,1,male,28,35.5
0,3,female,8,21.075
1,3,female,38,31.3875
0,1,male,19,263
0,1,male,40,27.7208
0,2,male,66,10.5
0,1,male,28,82.1708
0,1,male,42,52
0,3,male,21,8.05
0,3,female,18,18
1,3,female,14,11.2417
0,3,female,40,9.475
0,2,female,27,21
1,2,female,3,41.5792
1,3,female,19,7.8792
0,3,female,18,17.8
0,3,male,7,39.6875
0,3,male,21,7.8
1,1,female,49,76.7292
1,2,female,29,26
0,1,male,65,61.9792
1,2,female,21,10.5
0,3,male,28.5,7.2292
1,2,female,5,27.75
0,3,male,11,46.9
0,3,male,22,7.2292
1,1,female,38,80
0,1,male,45,83.475
0,3,male,4,27.9
1,2,female,29,10.5
0,3,male,19,8.1583
1,3,female,17,7.925
0,3,male,26,8.6625
0,2,male,32,10.5
0,3,female,16,46.9
0,2,male,21,73.5
0,3,male,26,14.4542
1,3,male,32,56.4958
0,3,male,25,7.65
1,2,male,0.83,29
1,3,female,30,12.475
0,3,male,22,9
1,3,male,29,9.5
0,1,male,28,47.1
1,2,female,17,10.5
1,3,female,33,15.85
0,3,male,16,34.375
1,1,female,23,263
0,3,male,24,8.05
0,3,male,29,8.05
0,3,male,20,7.8542
0,1,male,46,61.175
0,3,male,26,20.575
0,3,male,59,7.25
0,1,male,71,34.6542
1,1,male,23,63.3583
1,2,female,34,23
0,2,male,34,26
0,3,female,28,7.8958
0,1,male,21,77.2875
0,3,male,33,8.6542
0,3,male,37,7.925
0,3,male,28,7.8958
1,3,female,21,7.65
0,3,male,38,7.8958
0,1,male,47,52
0,3,female,14.5,14.4542
0,3,male,22,8.05
0,3,female,20,9.825
0,3,female,17,14.4583
0,3,male,21,7.925
0,3,male,70.5,7.75
0,2,male,29,21
0,1,male,24,247.5208
0,3,female,2,31.275
0,2,male,21,73.5
0,2,male,32.5,30.0708
1,2,female,32.5,13
0,1,male,54,77.2875
1,3,male,12,11.2417
1,3,male,24,7.1417
0,3,male,45,6.975
0,3,male,33,7.8958
0,3,male,20,7.05
0,3,female,47,14.5
1,2,female,29,26
0,2,male,25,13
0,2,male,23,15.0458
1,1,female,19,26.2833
0,1,male,37,53.1
0,3,male,16,9.2167
0,1,male,24,79.2
1,3,female,22,7.75
1,3,female,24,15.85
0,3,male,19,6.75
0,2,male,18,11.5
0,2,male,19,36.75
1,3,male,27,7.7958
0,3,female,9,34.375
0,2,male,36.5,26
0,2,male,42,13
0,2,male,51,12.525
1,1,female,22,66.6
0,3,male,55.5,8.05
0,3,male,40.5,14.5
0,1,male,51,61.3792
1,3,female,16,7.7333
0,3,male,30,8.05
0,3,male,44,16.1
1,2,female,40,15.75
0,3,male,26,7.775
